post_id,comment_id,comment_text,pos,neg,neu,compound,polarity
A1,10154,🌹 🌹 🌹,0.0,0.0,1.0,0.0,neutral
A1,10245,look how cute a beautiful flower,0.633,0.0,0.367,0.7845,strongly positive
A1,10462,yesss   ❤️ ❤️ ❤️,0.0,0.0,1.0,0.0,neutral
A1,11109,what happening under the camera,0.0,0.0,1.0,0.0,neutral
A1,11420,why do we need so many pictures of the same outfit?,0.0,0.0,1.0,0.0,neutral
A2,11788,🔥 🔥 ❤️,0.0,0.706,0.294,-0.5859,strongly negative
A2,12247,"so cute, beauty, perfect looking, kiss my favorite model.",0.811,0.0,0.189,0.9527,strongly positive
A2,12600,I know,0.0,0.0,1.0,0.0,neutral
A2,12947,❤️ ❤️ ❤️ 🔥 🔥 🔥 ❤️‍ 🔥,0.0,0.545,0.455,-0.8225,strongly negative
A2,13221,stunning adsolutly  😍,0.583,0.0,0.417,0.6808,strongly positive
A2,13555,QUEEN KYLIE !!!  fashion week paris love you,0.396,0.135,0.468,0.6534,strongly positive
A2,13654,I’m unfollowing I just woke up and I’m over y’all,0.0,0.0,1.0,0.0,neutral
A3A,14042,has anyone told you that you’ve beautiful ears  👂,0.328,0.0,0.672,0.5994,strongly positive
A3A,14047,🔥 🔥 🔥 ❤️ 🔥 ❤️ 🔥 🔥 😍 😍,0.197,0.474,0.329,-0.7506,strongly negative
A3A,14213,y’all always have something to say,0.0,0.0,1.0,0.0,neutral
A3A,14720,"I bought this saturday, didn’t know foundation was a thing for kylie cosmetic, but now I see it still has to be released? douglas was pre selling then. I wont just share what I think, but I wonder if you use it yourself?",0.0,0.06,0.94,-0.4003,negative
A3A,14746,"happy MLK day  , can I have $50,000???",0.377,0.0,0.623,0.6416,strongly positive
A3A,14848,OMG SO EXCITED  😍,0.733,0.0,0.267,0.8994,strongly positive
A3B,15007,"interesting, different, unusual, but I like it.",0.505,0.0,0.495,0.6249,strongly positive
A3B,15452,2x2 ✨ ✨ ✨,0.873,0.0,0.127,0.7096,strongly positive
A4,16747,queen looks wonderfull can't wait.... ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️,0.0,0.0,1.0,0.0,neutral
A4,16770,your shade range  👏 👏 👏,0.75,0.0,0.25,0.8402,strongly positive
A5,17743,💛 FIRST  💛,0.737,0.0,0.263,0.8555,strongly positive
A5,18546,😮 😍 😍,0.375,0.0,0.625,0.7184,strongly positive
A5,18732,and she is  💅,0.0,0.0,1.0,0.0,neutral
A5,18790,lbbb  🔥 🔥 🔥 😓 😮‍ 💨 😮‍ 💨 😮‍ 💨,0.0,0.312,0.688,-0.8402,strongly negative
A6,19378,you’re glow,0.0,0.0,1.0,0.0,neutral
A6,19673,"gente, eu postei um cover de greedy da tate mcrae. quem puder, vai lá curtir e marcar ela  🥹 ❤️
.
guys, I posted a cover of greedy by tate mcrae. whoever can, go like it and tag her  🥹 ❤️",0.053,0.098,0.849,-0.2732,negative
A6,19884,❤️ ❤️ ❤️ ❤️ very beautiful and cute picture dear friend  ❤️ 💋 💋 happy,0.601,0.0,0.399,0.9704,strongly positive
A7,21315,"looks bad, cheap material… we can get this from shein for $14 I’m sure you’re is about $40+",0.106,0.161,0.734,-0.296,negative
A7,21510,the  ❤️ ❤️first  ❤️ ❤️one  ❤️ ❤️,0.0,0.0,1.0,0.0,neutral
A7,22300,kylie cut the crap..,0.0,0.701,0.299,-0.5719,strongly negative
A7,22714,pretty kylie,0.762,0.0,0.238,0.4939,positive
A7,22942,is this at target,0.0,0.0,1.0,0.0,neutral
B1,23682,and here I am lookin at the peach,0.0,0.0,1.0,0.0,neutral
B1,23882,is this a “mr tucky”?,0.0,0.0,1.0,0.0,neutral
B1,24293,I love soft porn with USHER involved  😂 😂 😍 😍 😍 😍,0.461,0.074,0.465,0.9682,strongly positive
B1,24869,ual  🔥 🔥 😍 😍 ❤️ 👏,0.395,0.211,0.395,0.6369,strongly positive
B1,24921,🔥 🔥 😍 😍 🔥 🔥,0.278,0.444,0.278,-0.3818,negative
B1,24926,😍 🤤,0.375,0.0,0.625,0.4588,positive
B1,25064,and the herpes does not show at all. A miracle. thanks kim  😍 😂,0.43,0.061,0.51,0.9118,strongly positive
B1,25104,that man FINE!,0.585,0.0,0.415,0.4263,positive
B1,25403,this marketing team  🔥 🔥 🙌 🏾,0.0,0.375,0.625,-0.5859,strongly negative
B1,25529,don’t mind if I do  😍,0.273,0.0,0.727,0.4588,positive
B1,25867,anyone else thinking what I’m thinking? herp…,0.0,0.0,1.0,0.0,neutral
B2,26205,❤️ 😍 ❤️ 😍 ❤️ 😍 ❤️ 😍 ❤️ 😍 ❤️ 😍 ❤️ 😍 ❤️ ❤️ 😍 ❤️ 😍 ❤️ 😍 ❤️,0.357,0.0,0.643,0.9818,strongly positive
B2,26425,🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍,0.0,1.0,0.0,-0.9981,strongly negative
B2,26642,you know how your sis is! she’ll hold it for as long as she has to….that’s a superwoman right there  ❤️ 👏,0.13,0.0,0.87,0.5093,strongly positive
B2,26672,yes ma’am!!! so freakin GORGEOUS! 😍 😍 😍 🙌 🏾 🔥,0.483,0.064,0.453,0.9497,strongly positive
B2,27178,🤎 🤎 🤎 🤎 🤎 🤎 🤎 🤎 🤎,0.0,0.0,1.0,0.0,neutral
B2,27303,stunning gorgeous incredible  ❤️ ❤️ ❤️ 🔥 🔥 🔥 🔥,0.284,0.414,0.302,-0.25,negative
B2,27556,❤️ ❤️ ❤️ ❤️ 🔥 🔥 🔥,0.0,0.474,0.526,-0.7351,strongly negative
