post_id,comment_id,polarity,comment_text
A1,10154,neutral,🌹 🌹 🌹
A1,10245,positive,look how cute a beautiful flower
A1,10462,positive,yesss   ❤️ ❤️ ❤️
A1,11109,neutral,what happening under the camera
A1,11420,neutral,why do we need so many pictures of the same outfit?
A2,11788,positive,🔥 🔥 ❤️
A2,12247,strongly positive,"so cute, beauty, perfect looking, kiss my favorite model."
A2,12600,neutral,I know
A2,12947,strongly positive,❤️ ❤️ ❤️ 🔥 🔥 🔥 ❤️‍ 🔥
A2,13221,positive,stunning adsolutly  😍
A2,13555,positive,QUEEN KYLIE !!!  fashion week paris love you
A2,13654,negative,I’m unfollowing I just woke up and I’m over y’all
A3A,14042,positive,has anyone told you that you’ve beautiful ears  👂
A3A,14047,strongly positive,🔥 🔥 🔥 ❤️ 🔥 ❤️ 🔥 🔥 😍 😍
A3A,14213,neutral,y’all always have something to say
A3A,14720,neutral,"I bought this saturday, didn’t know foundation was a thing for kylie cosmetic, but now I see it still has to be released? douglas was pre selling then. I wont just share what I think, but I wonder if you use it yourself?"
A3A,14746,neutral,"happy MLK day  , can I have $50,000???"
A3A,14848,strongly positive,OMG SO EXCITED  😍
A3B,15007,positive,"interesting, different, unusual, but I like it."
A3B,15452,positive,2x2 ✨ ✨ ✨
A4,16747,strongly positive,queen looks wonderfull can't wait.... ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️
A4,16770,positive,your shade range  👏 👏 👏
A5,17743,positive,💛 FIRST  💛
A5,18546,positive,😮 😍 😍
A5,18732,neutral,and she is  💅
A5,18790,positive,lbbb  🔥 🔥 🔥 😓 😮‍ 💨 😮‍ 💨 😮‍ 💨
A6,19378,positive,you’re glow
A6,19673,positive,"gente, eu postei um cover de greedy da tate mcrae. quem puder, vai lá curtir e marcar ela  🥹 ❤️
.
guys, I posted a cover of greedy by tate mcrae. whoever can, go like it and tag her  🥹 ❤️"
A6,19884,strongly positive,❤️ ❤️ ❤️ ❤️ very beautiful and cute picture dear friend  ❤️ 💋 💋 happy
A7,21315,negative,"looks bad, cheap material… we can get this from shein for $14 I’m sure you’re is about $40+"
A7,21510,positive,the  ❤️ ❤️first  ❤️ ❤️one  ❤️ ❤️
A7,22300,strongly negative,kylie cut the crap..
A7,22714,positive,pretty kylie
A7,22942,neutral,is this at target
B1,23682,neutral,and here I am lookin at the peach
B1,23882,neutral,is this a “mr tucky”?
B1,24293,strongly positive,I love soft porn with USHER involved  😂 😂 😍 😍 😍 😍
B1,24869,positive,ual  🔥 🔥 😍 😍 ❤️ 👏
B1,24921,strongly positive,🔥 🔥 😍 😍 🔥 🔥
B1,24926,positive,😍 🤤
B1,25064,positive,and the herpes does not show at all. A miracle. thanks kim  😍 😂
B1,25104,positive,that man FINE!
B1,25403,positive,this marketing team  🔥 🔥 🙌 🏾
B1,25529,positive,don’t mind if I do  😍
B1,25867,neutral,anyone else thinking what I’m thinking? herp…
B2,26205,strongly positive,❤️ 😍 ❤️ 😍 ❤️ 😍 ❤️ 😍 ❤️ 😍 ❤️ 😍 ❤️ 😍 ❤️ ❤️ 😍 ❤️ 😍 ❤️ 😍 ❤️
B2,26425,strongly negative,🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍 🐍
B2,26642,strongly positive,you know how your sis is! she’ll hold it for as long as she has to….that’s a superwoman right there  ❤️ 👏
B2,26672,strongly positive,yes ma’am!!! so freakin GORGEOUS! 😍 😍 😍 🙌 🏾 🔥
B2,27178,strongly positive,🤎 🤎 🤎 🤎 🤎 🤎 🤎 🤎 🤎
B2,27303,strongly positive,stunning gorgeous incredible  ❤️ ❤️ ❤️ 🔥 🔥 🔥 🔥
B2,27556,strongly positive,❤️ ❤️ ❤️ ❤️ 🔥 🔥 🔥
B2,27645,positive,🖤  🖤
B2,27849,positive,love  ❤️  😍
B3,28544,neutral,are they snakeskin boots
B3,28636,positive,nice 🤠
B3,28647,positive,I love love love love those boots .. pleaseeeeee I want them  😍 😍 😍 😍 😍
B3,28757,positive,you look so beautiful
B3,28938,positive,🤩 🤩
B3,29553,positive,and of course we live for it! 😍
B3,30097,positive,this look is amazing  🔥 ❤️
B3,30278,positive,🪴 💙 🌻
B3,30344,neutral,you are kim kardashian ofc u can buy it
B4,31186,positive,her hair is soo shiny and silky looking 🔥
