post_id,comment_id,polarity,comment_text
A2,13650,neutral,the facecard damnnnn
C1,37048,negative,"yet, she does a lot of things!  I bet you don’t hold a candle to how hard she works.  this whole “rich” people commentary on here is just a cop out for the jealous individuals!  find something else to say and generate originality.  you can’t imagine the difficulties they deal with even having money, that they worked super hard for!"
C3A,41536,positive,absolutely ate 🙌
A5,17544,positive,"I still love them, but it’s crazy how much weight they’ve lost and how much their appearance and personalities have changed. I just hope they’re OK."
E2,66124,positive,just bought me the debloat can’t wait to try it  💜
D5,61320,strongly positive,gorgeous ❤ 🙌 🔥 😍
E2,65649,positive,she goes to target just like us!
A4,16652,negative,oh it’s not? crazy
E3,68392,positive,that bounce back already  🔥
C2,39018,neutral,🍎 🍎 🍎 🍎 🍎 🍎 🍎 🍎 🍎
A7,21841,negative,horraaay another line of basic sweatsuits that are over priced. I can get this from walmart
B1,23501,positive,🥵
B1,25931,positive,holy wow  😮
C1,36505,positive,🎯 🎯 🎯 😚 😚 😚 🏆
A2,12149,neutral,c’était juste une perruque  🤣
C3B,42418,positive,khloe you playing. call me.
B3,30307,neutral,the coat looks like a bathrobe
E3,67520,positive,I'm going to clone you some how ❤.
D3,51268,neutral,of course aspen
B2,26143,neutral,kris looks like james charles
C3B,42335,positive,fit the wall  🎁
A4,16055,strongly positive,💓 💓
E3,71058,neutral,I just wanna know how yalls hair is shiney. what products?
B5,33216,negative,wait and   😢
E2,64843,strongly negative,"very cringe, selling a product you would not eat yourself. I know y'all seen that episode where she spit it out  😂 DON'T BUY IT!"
D4,54443,strongly positive,hi ❤ ❤ ❤
B2,26929,strongly positive,🔥 🔥 🔥 🔥 ❤
A1,11467,strongly positive,love you  😍 😍 😍   ❤ ❤ ❤
A4,17078,strongly positive,so excited!!!! now i can do full face of kylie cosmetics  🤍
A1,10301,stronly positive,first ❤
A7,21849,negative,I can literally get this at the thrift store  🤔
C2,38381,positive,foot  🦶 🏼 on NECK  ❤‍ 🔥
C3A,41559,strongly positive,you look gorgeous   🔥 🔥
B1,25570,neutral,I guess I know what my man getting for V-day
D5,57077,neutral,you are not single don't even be spreading that type of assumption because then ..... well ya know......
A1,11048,strongly positive,so so pretty  ❤
E2,65949,strongly positive,👏 👏 👏 love my lemme purr!
A4,17035,strongly positive,thanks for having me 💋 🤍
B5,34763,negative,probably not the pose I’d recommend  💩
D5,60962,strongly positive,♥ ♥ ♥ ♥
C1,36872,positive,ate and left no crumbs
C2,39906,positive,thought you were the next bachelorette at first glance but realized it was an apple not a rose 😂 darn!
D5,62444,strongly positive,like wow  😲 you look amazing
B2,28095,strongly positive,"when you want to come to michigan and hang with the low key man, call me  🔥 ❤"
B2,26416,negative,the necklace is too much.
A5,18675,neutral,she borrowed her brother’s in law one 😂
C2,39571,strongly positive,khloe you look absolutely beautiful  😍
D5,57510,strongly positive,🔥 🔥 🙌 🙌 ❤ ❤ ❤
E3,70885,positive,the hair be soooooooo shiny  🤩
E2,65374,strongly positive,ohh sexy  🔥
E3,70485,positive,you look fabulous kourtney no matter what you wear it is uncomfortable with sore boobs and congratulations to the birth of your son
C3B,42369,strongly positive,🔥 🔥 🔥 🔥all the fucking way ❤
D5,58230,strongly positive,prettiest of them all  😍
C1,36281,negative,stop using FUR !! that’s not fashion its murder  🤮
E3,69400,strongly positive,sexy mama  🔥 💗
D5,60692,positive,I like your styles
D4,52730,positive,👍 🏻 nice
D3,49717,strongly positive,😍 👏 👏 🔥 ❤ love  😍 kendall
D2,47710,strongly positive,kendall is the bezt flirt with kendall shes top notch like that shes living good she deserves all your love
B3,29741,strongly positive,kim looks 20 again here 🔥 🔥 🔥 🔥
B1,23618,strongly positivv,oooo very fine photos 😍
D3,51760,strongly positive,may you start this new year as always beautiful and full of success.... 😍 🔥 🎉 💯 ❤ 🥰 😘
D2,47850,strongly positive,3x3 ❤ ❤
D2,49274,strongly positive,IM YOUR BIGGEST FAN 😩 ☝ 🏽
D5,57244,strongly positive,tne most beautiful cardashian GIRLL 🌹
E3,67482,strongly positive,such a glow!  😍
D4,52800,strongly positive,😂 ❤
A6,19191,strongly positive,man i wish i was that pretty
D4,52717,strongly positive,so cute 😘
D3,51598,strongly positive,i love youu
A1,10462,strongly positive,yesss   ❤ ❤ ❤
A3B,15877,strongly positive,lovely  😍 🔥 💋 🫦
B2,27578,strongly positive,"🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤 🖤
THE BEST  🏆"
C1,37059,strongly positive,hot mob wife  👏 👏 👏
B3,29523,neutral,"kim doesn’t wear boots by SW at all, we all know that."
B4,31198,strongly positive,yes queen  ❤
C3A,40531,strongly positive,ahhhhh my queen I love you baby girl  ❤
E2,66933,strongly positive,wow kourt you look so amazing and so so good love it so so much  ❤
D3,51626,strongly positive,how is everything? you look like you're having fun.
C4,43470,strongly positive,omg you look so young  👌
C2,40086,strongly positive,your a beautiful person
B4,31898,strongly positive,always beauty  ❤ ❤ ❤
B1,25511,strongly positive,😂 😂 😂 😂yahhhh right
A4,16694,positive,ahhh yes girl!!   😍
A1,10521,strongly negative,background  😮 ?!! for modelling ! appalling
C1,36091,positive,at first glance I thought this was denise richards back in the day.  😍
B3,28620,negative,what does that even mean? is it because they’re so expensive and you can afford to buy them?
E3,70628,strongly positive,🔥 🔥 🔥 😍 🖤
D2,48301,neutral,follow me 🥺 🫶
A3A,14011,neutral,are you mewing??
C2,38125,positive,khloe resembles the white grace jones over here 👌 🏽
B2,26778,negative,does anyone else have that one phobia of holes like me? my skin is crawling looking at this  🤢
E3,69571,neutral,that's right!
B5,32058,neutral,give her pot (lota)
D4,52320,strongly positive,that looks so cosy  😍 😍 😍
B2,27846,strongly positive,gorgeous girl  ❤ ❤ ❤ ❤ ❤
A7,22759,negative,it’s not wrong. it’s just not inclusive then. that’s the point she trying to make
A7,22805,strongly positive,😍 😍 😍 I loooove the raw images  so beautiful and cozy too
B5,34977,negative,🚩 🚩 🚩 🚩 🕉️ 🕉️ 🕉️ 🕉️ 🕉️
D1,46310,strongly positive,experience the beautiful
C3A,40278,negative,actually yours is unreal. you’re ridiculous. lol
A7,21521,neutral,what about people who live in states who actually have winter lol
B2,25973,strongly positive,unmatched beauty  🔥 🔥 🔥 🔥 🔥 🔥 🔥 ❤ ❤ ❤ ❤ ❤ ❤ ❤
D5,58529,strongly positive,beautiful pictures kendall so awesome!!!
C3B,42004,strongly positive,😍 🫶 ♥️
C1,36893,strongly positive,U look stunning  😍love the outfit xx
C3A,40394,negative,exactly!! stop trying to erase that israel is judea aka ancestral homeland of the jews.  ✌️
C2,38195,strongly positive,she's absolutely stunning! my favorite kardashian.
E1,63392,strongly positive,love  ❤ ❤
B5,32162,negative,why so constipated?  😂
E2,64560,strongly negative,you wouldn't eat your own product  😂stop it  ☠️
E1,63717,negative,do you guys pay a photographer everywhere you go? can't you just enjoy life without being on social media
E1,63822,strongly negative,yall it’s a promo shoot I’m sure they didn’t just walk in and take control of the target  💀 💀 target probably requested them to if anything
E2,66232,positive,"who cares if she shops at target or not , she’s making her product accessible to the average joe ! has anyone tried any of the products?"
A6,19470,neutral,how much did this ad cost
D4,55384,strongly positive,😍 🤍 🤍 🤍 🤍
A2,13751,strongly positive,hi jenn I love  💕 💕 💕 💕 💕 💕 💕 you
B5,34613,strongly positive,💖 💖 💖 💖 💖 💖 💖
E2,65872,positive,I wish i could shop with you at target  🤩 💕
B3,29925,strongly negative,🤮 🤮 🤮 🤮
A7,22993,stronly positive,first 👏 👏 👏
A2,11891,strongly negative,horrible  🤢 🤮
C2,38207,strongly positive,fire 🔥
D5,57426,strongly positive,damn girl you’re slaying !  💗 💗 💗
B4,31541,neutral,is this how you write checks at the grocery store?
D5,60375,strongly positive,you look beautiful... check out my novel day in or day out on the amazon platform  😍
A6,19225,strongly negative,🤮 🤮 🤮 🤮 🤮
B2,27067,strongly positive,love this look  🔥 🔥 🔥
C1,35977,positive,69 😍
E2,65564,stringly positive,"oh yes, I’m so excited"
C1,37505,negative,mob wife oh my that’s nothing to joke about  😢
C1,37026,neutral,what???
B5,32581,neutral,kim doing potty near railway tracks
D4,52850,strongly positive,beautiful  🔥 🔥 ❤ ❤ ❤ ❤ ❤
B2,26728,strongly positive,beautiful kimk 👑
A7,21393,negative,girl are you serious
C4,43255,stronly positive,😮 wow I liked when she was thick
B5,34425,neutral,my thought exactly
E3,67946,strongly positive,very interesting to look at  🔥 🔥 🔥 🔥
D4,56027,neutral,"blind artist, do your clothes shed lint when you wash them?"
E2,64312,negative,"you're wrong, sweetie."
B5,34946,strongly positive,❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ this woman
C2,38189,neutral,she doesn’t look the same. she’s to skinny.
C4,42814,strongly positive,fantasy girl!!! 🥰 🥰 🧡 🧡 🧡 💛 💛 🌞 🌊 🌊
A7,22427,strongly positive,I love you  ❤
C1,36589,strongly positive,😍 ❤🇮🇳 💙
D2,47656,strongly negative,"this is the reason all the men including harry styles left kendall ,she's just pure showoff no hardwork only surgeries and all that shit!"
E3,69333,strongly positive,flawless...you make it look easy ❤ 🔥 🔥 🔥
B1,24499,positive,now that's a peach  🍑 🔥!
A2,13254,strongly positive,🔥 🔥 🔥 😍 😍 😍 ❤
C1,36544,strongly positive,so cute omgg  ❤
B1,23742,positive,the way i hollered ty. you are doing gods work too
B5,32372,strongly positive,spread the legs 😍 🔥
B1,24076,neutral,where is his penis? 🥲
D4,55175,neutral,literally me if i were a supermodel in montana
E2,65723,neutral,you or  all should start your own baby clothing company  differnt styles for different parenting. your 𝘏𝘰𝘭𝘤𝘰𝘮𝘣𝘦  🫶 🏻
E1,63379,strongly positive,how much is she!  😂 😍
B2,28402,neutral,⭐ ⭐ ⭐ ⭐ ⭐ ⭐ ⭐
C1,35533,neutral,scott dissik buying up all the lotion in his area
E2,65450,strongly positive,I appreciate the time effort and funds put towards the health & safety factors of her products. similar consideration of jessica alba with her honest products and gwen paltrow with her goop.  ✊ usung your platform to contribute in societal advancements is always respected and appreciated  much more than material glamour products.
B2,27838,neutral,witches used to wear the same things  😂
D3,50915,positive,hottest kardish  🙌 🔥
