post_id,comment_id,comment_text,pos,neg,neu,compound,polarity
A1,10001,🍸 firsts,0.0,0.0,1.0,0.0,neutral
A1,10004,nice,1.0,0.0,0.0,0.4215,positive
A1,10005,LIKE BACK,0.714,0.0,0.286,0.3612,positive
A1,10006,❤ ️ ❤ ️ ❤ ️,0.677,0.0,0.323,0.9274,strongly positive
A1,10010,🫣,0.0,0.0,1.0,0.0,neutral
A1,10012,❤ ️,0.677,0.0,0.323,0.6369,strongly positive
A1,10013,first comment,0.0,0.0,1.0,0.0,neutral
A1,10014,lbinstantly 🤍,0.677,0.0,0.323,0.6369,strongly positive
A1,10016,👏,0.75,0.0,0.25,0.4588,positive
A1,10020,i love you  😍  😍,0.56,0.0,0.44,0.8807,strongly positive
A1,10022,❤ ️ 👏,0.706,0.0,0.294,0.802,strongly positive
A1,10029,shoes are terrible 😢,0.0,0.674,0.326,-0.7351,strongly negative
A1,10031,lbinstantly  🫶  🏻,0.0,0.0,1.0,0.0,neutral
A1,10033,🌠 firsts,0.0,0.0,1.0,0.0,neutral
A1,10034,we need a ballet teacher at the photo shooting  ❤ ️,0.276,0.0,0.724,0.6369,strongly positive
A1,10036,only here for the comment,0.0,0.0,1.0,0.0,neutral
A1,10038,beautiful in red  ❤ ️‍ 🔥,0.732,0.0,0.268,0.8979,strongly positive
A1,10039,🔥  🔥  🔥  ❤ ️ ❤ ️ ❤ ️ 😍  😍  😍,0.667,0.0,0.333,0.9834,strongly positive
A1,10041,CBCB ❤ ️,0.583,0.0,0.417,0.6369,strongly positive
A1,10043,ya paid for the ads show it off,0.0,0.0,1.0,0.0,neutral
A1,10044,❤ ️ 👡,0.512,0.0,0.488,0.6369,strongly positive
A1,10046,love  ❤ ️ everything but the shoes,0.464,0.0,0.536,0.6369,strongly positive
A1,10049,high heels on my tippies,0.0,0.0,1.0,0.0,neutral
A1,10050,can we take a picture with ur bf?,0.0,0.0,1.0,0.0,neutral
A1,10053,😍  😍  😍  😍,0.5,0.0,0.5,0.9001,strongly positive
A1,10054,🔥  🔥  🔥  🔥,1.0,0.0,0.0,0.8807,strongly positive
A1,10055,😂  😂  😂  😂,0.437,0.218,0.345,0.891,strongly positive
A1,10056,😍  😍  😍,0.5,0.0,0.5,0.8402,strongly positive
A1,10058,😮  😮  😮  😮,0.0,0.0,1.0,0.0,neutral
A1,10059,❤ ️ ❤ ️ ❤ ️ ❤ ️,0.677,0.0,0.323,0.9571,strongly positive
A1,10061,exciting,1.0,0.0,0.0,0.4939,positive
A1,10065,that's a dumb pose.,0.0,0.524,0.476,-0.5106,strongly negative
A1,10066,🔥  🔥,1.0,0.0,0.0,0.6808,strongly positive
A1,10069,stop leaning on the dirty wall  😂  😩,0.182,0.435,0.383,-0.5106,strongly negative
A1,10074,fashion queen ❤ ️ ❤ ️ ❤ ️,0.697,0.0,0.303,0.9524,strongly positive
A1,10075,😍,0.5,0.0,0.5,0.4588,positive
A1,10076,🌋  🔥  🔥  🔥,0.894,0.0,0.106,0.8126,strongly positive
A1,10077,what was that pose lol,0.412,0.0,0.588,0.4215,positive
A1,10079,F I R S T  🔥,0.359,0.0,0.641,0.4215,positive
A1,10083,all these poses are kinda silly.. just give us one good banger of a photo and we’re good,0.264,0.054,0.682,0.6815,strongly positive
A1,10086,aw yeah  ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,0.678,0.0,0.322,0.9965,strongly positive
A1,10088,could be,0.0,0.0,1.0,0.0,neutral
A1,10092,this fly!  🤩  ♥ ️,0.473,0.0,0.527,0.6696,strongly positive
A1,10094,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,0.677,0.0,0.323,0.9994,strongly positive
A1,10096,this era  🔥 natural look I’m just obsessed  😍,0.461,0.094,0.444,0.765,strongly positive
A1,10097,where are you that those walls are filthy,0.0,0.0,1.0,0.0,neutral
A1,10098,nice pick!,0.756,0.0,0.244,0.4753,positive
A1,10099,😍  😍  ❤ ️,0.56,0.0,0.44,0.8807,strongly positive
A1,10101,the lovely kylie sweet popcorn stylish girl,0.576,0.0,0.424,0.7783,strongly positive
A1,10103,😍  🔥  ❤ ️,0.667,0.0,0.333,0.875,strongly positive
A1,10104,like back,0.714,0.0,0.286,0.3612,positive
A1,10105,lol she in a ghetto hallway no way 😂,0.335,0.208,0.457,0.5423,strongly positive
A1,10106,❤ ️ ❤ ️ ❤ ️ ❤ ️ 🧿  🧿  🧿,0.545,0.0,0.455,0.9571,strongly positive
A1,10107,S 🔥  seductive uncle   ❤ ️,0.583,0.0,0.417,0.7906,strongly positive
A1,10108,👍  😍  😍  😍  🥰  🥰  🥰  🔥  🔥  🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  💘  💘  💘  💞  💞  💞  💞 so stunning!!! 💋  💋  💋  💋,0.724,0.0,0.276,0.9989,strongly positive
A1,10109,can  we get a break,0.0,0.0,1.0,0.0,neutral
A1,10110,like it's obvious you're entitled .... chill,0.479,0.0,0.521,0.5574,strongly positive
A1,10113,❤ ️ ❤ ️,0.677,0.0,0.323,0.8555,strongly positive
A1,10114,I need job please,0.434,0.0,0.566,0.3182,positive
A1,10117,beautiful.,1.0,0.0,0.0,0.5994,strongly positive
A1,10120,you have to pick new facial expressions. you recent one make you look so much older on camera.,0.0,0.0,1.0,0.0,neutral
A1,10122,those shoes are awful!,0.0,0.523,0.477,-0.5093,strongly negative
A1,10127,☁ ️first ☁ ️,0.0,0.0,1.0,0.0,neutral
A1,10131,👏  👏  👏  🔥  🔥,0.83,0.0,0.17,0.9274,strongly positive
A1,10133,the shoesss  🫨  🫨  🫨,0.0,0.0,1.0,0.0,neutral
A1,10134,soo good,0.744,0.0,0.256,0.4404,positive
A1,10135,you look beautiful,0.661,0.0,0.339,0.5994,strongly positive
A1,10137,it’s giving powerpuff girls and I’m here for it.,0.231,0.0,0.769,0.34,positive
A1,10140,a man a to viau chu ka ring a mahse i pheikhawk chu a nalh looooooooo... 😂  😂,0.228,0.114,0.659,0.7003,strongly positive
A1,10144,I love  items 😍,0.59,0.0,0.41,0.802,strongly positive
A1,10145,♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ ️,0.677,0.0,0.323,0.9803,strongly positive
A1,10148,killing me w that smile,0.253,0.444,0.303,-0.4404,negative
A1,10149,such talent!,0.756,0.0,0.244,0.4753,positive
A1,10152,kylie this outfit is so boots the house down serve mama slay pussy cunt,0.0,0.198,0.802,-0.4939,negative
A1,10153,🤍  🤍  🤍,0.808,0.0,0.192,0.9274,strongly positive
A1,10154,🌹  🌹  🌹,0.0,0.0,1.0,0.0,neutral
A1,10155,🔥  😍  😍,0.595,0.0,0.405,0.8316,strongly positive
A1,10157,wow  🤩  stunna bae wasup  👸  🏻  💖  💖  💖  💖  ❤ ️ ❤ ️ ❤ ️ ❤ ️ 🎀  🎀  🤴  🏽  🤗  🤗  😃  😃  💙  💙  😘  😘  have a good day bae I love you  😘  ❤ ️ 💕,0.632,0.0,0.368,0.9981,strongly positive
A1,10159,🌹  🍒  🌹,0.0,0.0,1.0,0.0,neutral
A1,10160,👏  👏  👏  👏  👏  👏  👏,0.75,0.0,0.25,0.9638,strongly positive
A1,10162,😂,0.437,0.218,0.345,0.4404,positive
A1,10163,🔥,1.0,0.0,0.0,0.4215,positive
A1,10168,I would not be leaning on that dirty wall.  🤮   😬  🤭,0.123,0.338,0.538,-0.6808,strongly negative
A1,10170,bradley cooper  🤢  🤢  🤮  🤮,0.0,0.7,0.3,-0.9325,strongly negative
A1,10171,🔥  ❤ ️,0.778,0.0,0.222,0.7906,strongly positive
A1,10172,love red on you,0.583,0.0,0.417,0.6369,strongly positive
A1,10173,exactly  💯 %,0.0,0.0,1.0,0.0,neutral
A1,10174,lol girl no,0.467,0.367,0.167,0.1531,positive
A1,10176,😍  😍  😍  🔥  🔥  🔥  🔥  ❤ ️ ❤ ️ ❤ ️ ❤ ️,0.685,0.0,0.315,0.9891,strongly positive
A1,10178,first  ❤ ️,0.583,0.0,0.417,0.6369,strongly positive
A1,10182,"the 3rd picture is how she looks at timothy I'm the bedroom, great for her and him, ayyyyyyyyyy!!!",0.226,0.0,0.774,0.7163,strongly positive
A1,10184,weird position,0.0,0.63,0.37,-0.1779,negative
A1,10186,I'm so glad she looks happy  🙌,0.538,0.0,0.462,0.7902,strongly positive
A1,10191,🔥  🔥  🔥 red is available  😍  😍,0.615,0.0,0.385,0.9246,strongly positive
A1,10194,too much filler,0.0,0.0,1.0,0.0,neutral
A1,10197,the heels are tea hunttyyyyy  🔥  😍,0.42,0.0,0.58,0.7003,strongly positive
A1,10199,she’s an icon,0.636,0.0,0.364,0.5423,strongly positive
A1,10200,and the floor too !!,0.0,0.0,1.0,0.0,neutral
A1,10202,I thought it was a bathrobe at first  😂,0.228,0.114,0.659,0.4404,positive
A1,10207,👏  😢  ❤ ️ 😂  😮  👏,0.452,0.161,0.387,0.875,strongly positive
A1,10208,🔥  🔥  🔥  🔥  🔥  🔥  🔥  🔥,1.0,0.0,0.0,0.9657,strongly positive
A1,10209,she can do whtevr she wants get a life,0.0,0.0,1.0,0.0,neutral
A1,10210,dressing up would be more interesting if you were going somewhere exciting,0.382,0.0,0.618,0.7346,strongly positive
A1,10211,explain these poses...,0.0,0.0,1.0,0.0,neutral
A1,10212,I was like ohhh  🔥   ❤ ️ yass then I seen the shoes  👞   🦆   😂  😂  😂  😂  😂  😂,0.427,0.151,0.423,0.9774,strongly positive
A1,10214,🔥  🔥  🔥,1.0,0.0,0.0,0.8126,strongly positive
A1,10218,that wall is very dirty,0.0,0.444,0.556,-0.4927,negative
A1,10220,she sold her sole,0.0,0.0,1.0,0.0,neutral
A1,10222,🤢  🤮  🤢  🤮  🤢  🤮  🤢  💩,0.0,0.801,0.199,-0.9819,strongly negative
A1,10223,"I actually really love the shoes and the outfit overall, but of course everyone is entitled to their opinions!!",0.26,0.0,0.74,0.7167,strongly positive
