post_id,comment_id,comment_text,polarity,comment_train
A1,10001,🍸 firsts,neutral,🍸 first
A1,10004,nice,positive,nice
A1,10005,LIKE BACK,positive,LIKE BACK
A1,10006,❤ ️ ❤ ️ ❤ ️,strongly positive,❤ ️ ❤ ️ ❤ ️
A1,10010,🫣,neutral,🫣
A1,10012,❤ ️,strongly positive,❤ ️
A1,10013,first comment,neutral,first comment
A1,10014,lbinstantly 🤍,strongly positive,lbinstantly 🤍
A1,10016,👏,positive,👏
A1,10020,i love you  😍  😍,strongly positive,love 😍 😍
A1,10022,❤ ️ 👏,strongly positive,❤ ️ 👏
A1,10029,shoes are terrible 😢,strongly negative,shoe terrible 😢
A1,10031,lbinstantly  🫶  🏻,neutral,lbinstantly 🫶 🏻
A1,10033,🌠 firsts,neutral,🌠 first
A1,10034,we need a ballet teacher at the photo shooting  ❤ ️,strongly positive,need ballet teacher photo shoot ❤ ️
A1,10036,only here for the comment,neutral,comment
A1,10038,beautiful in red  ❤ ️‍ 🔥,strongly positive,beautiful red ❤ ️‍ 🔥
A1,10039,🔥  🔥  🔥  ❤ ️ ❤ ️ ❤ ️ 😍  😍  😍,strongly positive,🔥 🔥 🔥 ❤ ️ ❤ ️ ❤ ️ 😍 😍 😍
A1,10041,CBCB ❤ ️,strongly positive,CBCB ❤ ️
A1,10043,ya paid for the ads show it off,neutral,ya paid ad show
A1,10044,❤ ️ 👡,strongly positive,❤ ️ 👡
A1,10046,love  ❤ ️ everything but the shoes,strongly positive,love ❤ ️ everything shoe
A1,10049,high heels on my tippies,neutral,high heel tippies
A1,10050,can we take a picture with ur bf?,neutral,take picture bf
A1,10053,😍  😍  😍  😍,strongly positive,😍 😍 😍 😍
A1,10054,🔥  🔥  🔥  🔥,strongly positive,🔥 🔥 🔥 🔥
A1,10055,😂  😂  😂  😂,strongly positive,😂 😂 😂 😂
A1,10056,😍  😍  😍,strongly positive,😍 😍 😍
A1,10058,😮  😮  😮  😮,neutral,😮 😮 😮 😮
A1,10059,❤ ️ ❤ ️ ❤ ️ ❤ ️,strongly positive,❤ ️ ❤ ️ ❤ ️ ❤ ️
A1,10061,exciting,positive,excite
A1,10065,that's a dumb pose.,strongly negative,thats dumb pose
A1,10066,🔥  🔥,strongly positive,🔥 🔥
A1,10069,stop leaning on the dirty wall  😂  😩,strongly negative,stop lean dirty wall 😂 😩
A1,10074,fashion queen ❤ ️ ❤ ️ ❤ ️,strongly positive,fashion queen ❤ ️ ❤ ️ ❤ ️
A1,10075,😍,positive,😍
A1,10076,🌋  🔥  🔥  🔥,strongly positive,🌋 🔥 🔥 🔥
A1,10077,what was that pose lol,positive,pose lol
A1,10079,F I R S T  🔥,positive,F R 🔥
A1,10083,all these poses are kinda silly.. just give us one good banger of a photo and we’re good,strongly positive,pose kinda silly give u one good banger photo be good
A1,10086,aw yeah  ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,strongly positive,aw yeah ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️
A1,10088,could be,neutral,could
A1,10092,this fly!  🤩  ♥ ️,strongly positive,fly ! 🤩 ♥ ️
A1,10094,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️,strongly positive,❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️
A1,10096,this era  🔥 natural look I’m just obsessed  😍,strongly positive,era 🔥 natural look Im obsess 😍
A1,10097,where are you that those walls are filthy,neutral,wall filthy
A1,10098,nice pick!,positive,nice pick !
A1,10099,😍  😍  ❤ ️,strongly positive,😍 😍 ❤ ️
A1,10101,the lovely kylie sweet popcorn stylish girl,strongly positive,lovely kylie sweet popcorn stylish girl
A1,10103,😍  🔥  ❤ ️,strongly positive,😍 🔥 ❤ ️
A1,10104,like back,positive,like back
A1,10105,lol she in a ghetto hallway no way 😂,strongly positive,lol ghetto hallway way 😂
A1,10106,❤ ️ ❤ ️ ❤ ️ ❤ ️ 🧿  🧿  🧿,strongly positive,❤ ️ ❤ ️ ❤ ️ ❤ ️ 🧿 🧿 🧿
A1,10107,S 🔥  seductive uncle   ❤ ️,strongly positive,🔥 seductive uncle ❤ ️
A1,10108,👍  😍  😍  😍  🥰  🥰  🥰  🔥  🔥  🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  ❤ ️‍ 🔥  💘  💘  💘  💞  💞  💞  💞 so stunning!!! 💋  💋  💋  💋,strongly positive,👍 😍 😍 😍 🥰 🥰 🥰 🔥 🔥 🔥 ❤ ️‍ 🔥 ❤ ️‍ 🔥 ❤ ️‍ 🔥 ❤ ️‍ 🔥 💘 💘 💘 💞 💞 💞 💞 stun ! ! ! 💋 💋 💋 💋
A1,10109,can  we get a break,neutral,get break
A1,10110,like it's obvious you're entitled .... chill,strongly positive,like obvious entitle chill
A1,10113,❤ ️ ❤ ️,strongly positive,❤ ️ ❤ ️
A1,10114,I need job please,positive,need job please
A1,10117,beautiful.,strongly positive,beautiful
A1,10120,you have to pick new facial expressions. you recent one make you look so much older on camera.,neutral,pick new facial expression recent one make look much old camera
A1,10122,those shoes are awful!,strongly negative,shoe awful !
A1,10127,☁ ️first ☁ ️,neutral,☁ ️first ☁ ️
A1,10131,👏  👏  👏  🔥  🔥,strongly positive,👏 👏 👏 🔥 🔥
A1,10133,the shoesss  🫨  🫨  🫨,neutral,shoes 🫨 🫨 🫨
A1,10134,soo good,positive,soo good
A1,10135,you look beautiful,strongly positive,look beautiful
A1,10137,it’s giving powerpuff girls and I’m here for it.,positive,it give powerpuff girl Im it
A1,10140,a man a to viau chu ka ring a mahse i pheikhawk chu a nalh looooooooo... 😂  😂,strongly positive,man viau chu ka ring mahse pheikhawk chu nalh looooooooo 😂 😂
A1,10144,I love  items 😍,strongly positive,love item 😍
A1,10145,♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ ️,strongly positive,♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ ️ ♥ ️
A1,10148,killing me w that smile,negative,kill w smile
A1,10149,such talent!,positive,talent !
A1,10152,kylie this outfit is so boots the house down serve mama slay pussy cunt,negative,kylie outfit boot house serve mama slay pussy cunt
A1,10153,🤍  🤍  🤍,strongly positive,🤍 🤍 🤍
A1,10154,🌹  🌹  🌹,neutral,🌹 🌹 🌹
A1,10155,🔥  😍  😍,strongly positive,🔥 😍 😍
A1,10157,wow  🤩  stunna bae wasup  👸  🏻  💖  💖  💖  💖  ❤ ️ ❤ ️ ❤ ️ ❤ ️ 🎀  🎀  🤴  🏽  🤗  🤗  😃  😃  💙  💙  😘  😘  have a good day bae I love you  😘  ❤ ️ 💕,strongly positive,wow 🤩 stunna bae wasup 👸 🏻 💖 💖 💖 💖 ❤ ️ ❤ ️ ❤ ️ ❤ ️ 🎀 🎀 🤴 🏽 🤗 🤗 😃 😃 💙 💙 😘 😘 good day bae love 😘 ❤ ️ 💕
A1,10159,🌹  🍒  🌹,neutral,🌹 🍒 🌹
A1,10160,👏  👏  👏  👏  👏  👏  👏,strongly positive,👏 👏 👏 👏 👏 👏 👏
A1,10162,😂,positive,😂
A1,10163,🔥,positive,🔥
A1,10168,I would not be leaning on that dirty wall.  🤮   😬  🤭,strongly negative,would lean dirty wall 🤮 😬 🤭
A1,10170,bradley cooper  🤢  🤢  🤮  🤮,strongly negative,bradley cooper 🤢 🤢 🤮 🤮
A1,10171,🔥  ❤ ️,strongly positive,🔥 ❤ ️
A1,10172,love red on you,strongly positive,love red
A1,10173,exactly  💯 %,neutral,exactly 💯
A1,10174,lol girl no,positive,lol girl
A1,10176,😍  😍  😍  🔥  🔥  🔥  🔥  ❤ ️ ❤ ️ ❤ ️ ❤ ️,strongly positive,😍 😍 😍 🔥 🔥 🔥 🔥 ❤ ️ ❤ ️ ❤ ️ ❤ ️
A1,10178,first  ❤ ️,strongly positive,first ❤ ️
A1,10182,"the 3rd picture is how she looks at timothy I'm the bedroom, great for her and him, ayyyyyyyyyy!!!",strongly positive,rd picture look timothy bedroom great him ayyyyyyyyyy ! ! !
A1,10184,weird position,negative,weird position
A1,10186,I'm so glad she looks happy  🙌,strongly positive,glad look happy 🙌
A1,10191,🔥  🔥  🔥 red is available  😍  😍,strongly positive,🔥 🔥 🔥 red available 😍 😍
A1,10194,too much filler,neutral,much filler
A1,10197,the heels are tea hunttyyyyy  🔥  😍,strongly positive,heel tea hunttyyyyy 🔥 😍
A1,10199,she’s an icon,strongly positive,shes icon
A1,10200,and the floor too !!,neutral,floor ! !
A1,10202,I thought it was a bathrobe at first  😂,positive,thought bathrobe first 😂
A1,10207,👏  😢  ❤ ️ 😂  😮  👏,strongly positive,👏 😢 ❤ ️ 😂 😮 👏
